Art,Name,Card Type,Unique,Archetype,Type,CRC,Cost,Move,ATK,DEF,HP,Keywords,Effect,
Tyler,Creepy Crawlies,Unit,,Alien,Bugs,1,1,1,1,0,2,,,
Tyler,A Swarm,Unit,,Alien,Bugs,1,L,2,1,0,1,,,
Tyler,Striders,Unit,,Alien,Horror,1,N,1,1,0,1,,"As a surprise, {Q}, sacrifice this, target a card with CRC ≤ 2 + ?, negate target or cancel deployment",
Colin,Kill Bots,Unit,,Alien,Bots,1,S,1,1,0,1,{Kill} 1,,
Tyler,Hungering Masses,Unit,,Alien,Bugs,2,2,2,1,1,2,,"{1}, sacrifice this, do 4 {Damage} among Units in {Range 0}",
Colin,Horrors Beyond,Unit,,Alien,Horror,2,1S,1,1,1,1,{Range} 1,"{2}, exhaust this, destroy Unit in {Range 0}",
Colin,Death Squad,Unit,,Alien,Bots,2,1S,1,1,2,1,{Kill} 1,"{2}, ignore 1 {Damage} to this",
Tyler,Mantis Destroyers,Unit,,Alien,Bugs,3,1LN,3,1,1,2,{Deploy} 1,"On Deploy: Target one Unit, if this is destroyed, destroy target ",
Tyler,The Far Guards,Unit,,Alien,Bugs,3,1LS,3,1,0,3,{Ride} Alien 2,On {Ride}: If {Rider} does not have a far counter it gains 1 {ATK} counter and a far counter,
Colin,Horrors Below,Unit,,Alien,Horror,3,1NS,2,2,1,2,{Range} 1,"Sacrifice this, send one Unit in {Range 2} to the Scrapyard",
Tyler,Angry Bugs,Unit,,Alien,Bugs,3,2N,2,3,1,3,,,
Tyler,Hunting Nightmares,Unit,,Alien,Bugs,3,2S,3,2,1,3,{Range} 1,On Deploy: Location takes 1 {Damage},
Tyler,Blood Hungry Masses,Unit,,Alien,Bugs,3,LNN,3,2,0,3,{Kill} 1,"On Deploy: Target 1 Unit in {Range 1}, target takes 2 {Damage}",
Colin,Horrors of Blood,Unit,,Alien,Horror,4,2NN,3,2,1,3,{Drain} 1,,
Tyler,Glorp,Unit,TRUE,Alien,Ooze,4,LLNN,2,2,1,3,{Range} 2,"On Deploy: Target 1 Unit in {Range 2}, destroy target",
Colin,Phrentix the Frozen Wind,Unit,TRUE,Alien,Elemental,5,2SSS,3,1,3,3,{Deploy} HQ,"• Exhaust this, this gains an exhaustion counter, exhaust all units in {Range 1}
• Sacrifice a Unit in {Range 0} and remove a counter from this
• This does not {Recover} while it has an exhaustion counter",
Colin,Barge of the Dead,Unit,TRUE,Alien,Leviathan,5,LLNSS,1,0,0,10,{Ride} 5,"• Units cannot {Ride} this
• You may Play Units from Scrapyards to this as {Riders}
• This gets 1 {ATK} per Unit {Riding}
• {Riders} get ""This may not {Act}""",
Colin,Skreem,Unit,TRUE,Alien,Leviathan,5,LNSSS,2,3,0,8,,"• Once per turn, Target Unit in {Range 1}, destroy target* and this gains 1 {DEF} counter
* If target is an Enemy, exhaust this",
Rin,Horror of the Deep,Unit,,Alien,Deep,6,2NNLS,3,2,1,2,"{Range} 1
{Kill} 2",,
Colin,Skrull the Flame Walker,Unit,TRUE,Alien,Elemental,6,3SSS,1,4,1,3,{Deploy} HQ,"Exhaust this, Enemy Deployments in {Range 0} take 1 {Damage}, place this on any Location",
